# Tau0 Delta logL logPrior
9.354683043857782820e+00 5.614254038639139299e-01 1.058483279831192760e+02 -2.708050201102210508e+00
1.038766884139804780e+01 1.351528940810598156e+00 1.058648603854293526e+02 -2.708050201102210508e+00
1.033802283782818421e+01 1.179313028555017739e+00 1.058769110143617098e+02 -2.708050201102210508e+00
8.378847305196813977e+00 1.204256829616662916e+00 1.058827257566505580e+02 -2.708050201102210508e+00
9.860032662356156052e+00 6.900207010424012077e-01 1.058867796665112024e+02 -2.708050201102210508e+00
8.514796495613925487e+00 1.012932177008489365e+00 1.058921479679684410e+02 -2.708050201102210508e+00
1.024952326212275011e+01 1.828772886102324469e+00 1.058932977204402732e+02 -2.708050201102210508e+00
1.017010227286312940e+01 1.910977358316364061e+00 1.059092615256646184e+02 -2.708050201102210508e+00
1.035100873920496767e+01 1.628406413504214445e+00 1.059109805366014712e+02 -2.708050201102210508e+00
1.031185035148805795e+01 1.138973905399463860e+00 1.059258158000016152e+02 -2.708050201102210508e+00
8.304647810893870385e+00 1.686027816443388394e+00 1.059279241265556095e+02 -2.708050201102210508e+00
8.413687771529763992e+00 1.898946210833254211e+00 1.059296094161943955e+02 -2.708050201102210508e+00
8.777860759954965175e+00 7.777780826752732635e-01 1.059333808512057686e+02 -2.708050201102210508e+00
8.307676639164794707e+00 1.679257042397169331e+00 1.059429758767704328e+02 -2.708050201102210508e+00
8.535719406816216548e+00 9.972666312171877268e-01 1.059435267893083221e+02 -2.708050201102210508e+00
1.010519742896619988e+01 8.675288765792037449e-01 1.059466018454918412e+02 -2.708050201102210508e+00
8.337103561057032763e+00 1.760548875985833206e+00 1.059494685161322280e+02 -2.708050201102210508e+00
9.949689202591958548e+00 7.472238215466853184e-01 1.059509445976816693e+02 -2.708050201102210508e+00
8.543381594522351463e+00 9.905785119681921325e-01 1.059558943302264993e+02 -2.708050201102210508e+00
8.332563732129454337e+00 1.350135860114911823e+00 1.059762416768078594e+02 -2.708050201102210508e+00
1.008445636646476196e+01 1.954174695492255864e+00 1.059835771406160063e+02 -2.708050201102210508e+00
8.315299159131985363e+00 1.429436444329162281e+00 1.059895001159259920e+02 -2.708050201102210508e+00
8.326815523946388353e+00 1.691298616230006324e+00 1.059930160237147021e+02 -2.708050201102210508e+00
1.023789711531751223e+01 1.031330067478698043e+00 1.060054902198519642e+02 -2.708050201102210508e+00
8.317358898605506923e+00 1.631592621270040677e+00 1.060076597510237519e+02 -2.708050201102210508e+00
9.549552301586421876e+00 5.863504511713489853e-01 1.060097331265936162e+02 -2.708050201102210508e+00
1.020919390392837300e+01 9.918508828858371151e-01 1.060097942165267568e+02 -2.708050201102210508e+00
1.031452738355948817e+01 1.178848315721351403e+00 1.060122816168245805e+02 -2.708050201102210508e+00
